constructor_name,year,total_wins,total_podiums,total_points,total_races,avg_position,total_dnf,win_rate
AFM,1952,0,0,0.0,3,13.666666666666666,3,0.0
AFM,1953,0,0,0.0,4,25.75,4,0.0
AGS,1986,0,0,0.0,2,21.0,2,0.0
AGS,1987,0,0,1.0,14,14.642857142857142,14,0.0
AGS,1988,0,0,0.0,16,16.75,16,0.0
AGS,1989,0,0,1.0,31,30.741935483870968,31,0.0
AGS,1990,0,0,0.0,32,26.5625,32,0.0
AGS,1991,0,0,0.0,28,28.714285714285715,28,0.0
ATS,1963,0,0,0.0,17,19.235294117647058,17,0.0
ATS,1978,0,0,0.0,32,19.1875,31,0.0
ATS,1979,0,0,2.0,15,16.933333333333334,14,0.0
ATS,1980,0,0,0.0,18,17.333333333333332,18,0.0
ATS,1981,0,0,1.0,16,19.4375,16,0.0
ATS,1982,0,0,4.0,32,18.3125,32,0.0
ATS,1983,0,0,0.0,15,17.4,15,0.0
ATS,1984,0,0,0.0,17,17.235294117647058,17,0.0
Adams,1950,0,0,0.0,2,27.0,2,0.0
Alfa Romeo,1950,6,12,89.0,22,6.454545454545454,9,27.27
Alfa Romeo,1951,5,11,75.0,30,7.133333333333334,21,16.67
Alfa Romeo,1963,0,0,0.0,1,15.0,1,0.0
Alfa Romeo,1965,0,0,0.0,1,10.0,1,0.0
Alfa Romeo,1979,0,0,0.0,7,18.285714285714285,7,0.0
Alfa Romeo,1980,0,0,4.0,26,16.423076923076923,25,0.0
Alfa Romeo,1981,0,1,10.0,30,12.066666666666666,25,0.0
Alfa Romeo,1982,0,1,7.0,32,14.84375,32,0.0
Alfa Romeo,1983,0,2,18.0,30,15.166666666666666,26,0.0
Alfa Romeo,1984,0,1,11.0,32,15.25,32,0.0
Alfa Romeo,1985,0,0,0.0,32,16.9375,32,0.0
Alfa Romeo,2019,0,0,57.0,42,12.738095238095237,30,0.0
Alfa Romeo,2020,0,0,8.0,34,13.852941176470589,22,0.0
Alfa Romeo,2021,0,0,13.0,44,13.204545454545455,34,0.0
Alfa Romeo,2022,0,0,53.0,44,13.204545454545455,23,0.0
Alfa Romeo,2023,0,0,16.0,44,14.0,20,0.0
AlphaTauri,2020,1,1,107.0,34,10.705882352941176,16,2.94
AlphaTauri,2021,0,1,142.0,44,11.272727272727273,24,0.0
AlphaTauri,2022,0,0,35.0,44,13.522727272727273,23,0.0
AlphaTauri,2023,0,0,22.0,44,13.613636363636363,20,0.0
Alpine F1 Team,2021,1,2,155.0,44,10.25,24,2.27
Alpine F1 Team,2022,0,0,170.0,44,9.863636363636363,15,0.0
Alpine F1 Team,2023,0,2,110.0,44,11.272727272727273,12,0.0
Alpine F1 Team,2024,0,2,63.0,48,13.3125,30,0.0
Alta,1950,0,0,0.0,3,12.666666666666666,3,0.0
Alta,1951,0,0,0.0,1,15.0,1,0.0
Alta,1952,0,0,0.0,2,14.0,2,0.0
Amon,1974,0,0,0.0,5,28.0,5,0.0
Andrea Moda,1992,0,0,0.0,15,30.133333333333333,15,0.0
Apollon,1977,0,0,0.0,1,33.0,1,0.0
Arrows,1978,0,1,11.0,28,16.071428571428573,24,0.0
Arrows,1979,0,0,5.0,30,14.266666666666667,28,0.0
Arrows,1980,0,1,11.0,29,14.241379310344827,27,0.0
Arrows,1981,0,2,10.0,30,17.7,28,0.0
Arrows,1982,0,0,5.0,30,14.9,30,0.0
Arrows,1983,0,0,4.0,30,11.933333333333334,29,0.0
Arrows,1984,0,0,6.0,32,15.28125,32,0.0
Arrows,1985,0,1,14.0,32,11.09375,31,0.0
Arrows,1986,0,0,1.0,31,12.419354838709678,31,0.0
Arrows,1987,0,0,11.0,32,13.84375,31,0.0
Arrows,1988,0,1,23.0,32,12.09375,27,0.0
Arrows,1989,0,1,13.0,32,13.0625,28,0.0
Arrows,1990,0,0,2.0,32,16.375,32,0.0
Arrows,1997,0,1,9.0,34,14.029411764705882,28,0.0
Arrows,1998,0,0,6.0,32,16.0625,30,0.0
Arrows,1999,0,0,1.0,32,14.9375,30,0.0
Arrows,2000,0,0,7.0,34,15.235294117647058,31,0.0
Arrows,2001,0,0,1.0,34,13.970588235294118,33,0.0
Arrows,2002,0,0,2.0,24,14.958333333333334,23,0.0
Arzani-Volpini,1955,0,0,0.0,1,23.0,1,0.0
Aston Butterworth,1952,0,0,0.0,4,25.25,4,0.0
Aston Martin,1959,0,0,0.0,8,11.125,8,0.0
Aston Martin,1960,0,0,0.0,3,17.0,3,0.0
Aston Martin,2021,0,1,77.0,44,12.0,28,0.0
Aston Martin,2022,0,0,55.0,44,11.886363636363637,16,0.0
Aston Martin,2023,0,8,266.0,44,8.909090909090908,8,0.0
Aston Martin,2024,0,0,94.0,48,11.770833333333334,22,0.0
BAR,1999,0,0,0.0,32,14.59375,30,0.0
BAR,2000,0,0,20.0,34,10.647058823529411,24,0.0
BAR,2001,0,2,17.0,34,11.205882352941176,25,0.0
BAR,2002,0,0,7.0,34,12.676470588235293,30,0.0
BAR,2003,0,0,26.0,32,11.84375,24,0.0
BAR,2004,0,11,119.0,36,7.833333333333333,13,0.0
BAR,2005,0,2,38.0,34,11.529411764705882,24,0.0
BMW,1952,0,0,0.0,4,16.75,4,0.0
BMW,1953,0,0,0.0,2,14.5,2,0.0
BMW Sauber,2006,0,2,36.0,36,10.86111111111111,22,0.0
BMW Sauber,2007,0,2,101.0,34,7.735294117647059,9,0.0
BMW Sauber,2008,1,11,135.0,36,6.055555555555555,5,2.78
BMW Sauber,2009,0,2,36.0,34,11.088235294117647,12,0.0
BRM,1951,0,0,2.0,4,13.75,4,0.0
BRM,1956,0,0,0.0,5,19.8,5,0.0
BRM,1957,0,0,0.0,6,13.5,6,0.0
BRM,1958,0,2,24.0,23,12.043478260869565,18,0.0
BRM,1959,1,2,22.5,22,9.090909090909092,19,4.55
BRM,1960,0,1,8.0,23,12.391304347826088,22,0.0
BRM,1961,0,1,9.0,16,13.375,12,0.0
BRM,1962,4,8,62.0,26,10.846153846153847,17,15.38
BRM,1963,2,10,65.0,27,8.777777777777779,18,7.41
BRM,1964,2,7,70.0,38,9.763157894736842,30,5.26
BRM,1965,3,11,81.0,28,8.035714285714286,15,10.71
BRM,1966,1,4,34.0,25,10.12,22,4.0
BRM,1967,0,2,21.0,34,11.470588235294118,33,0.0
BRM,1968,0,4,28.0,32,10.21875,27,0.0
BRM,1969,0,1,7.0,25,11.68,25,0.0
BRM,1970,1,2,25.0,37,13.513513513513514,34,2.7
BRM,1971,2,4,42.0,38,11.421052631578947,30,5.26
BRM,1972,1,1,14.0,47,16.48936170212766,41,2.13
BRM,1973,0,0,13.0,44,13.454545454545455,38,0.0
BRM,1974,0,1,10.0,40,16.975,36,0.0
BRM,1975,0,0,0.0,11,18.636363636363637,11,0.0
BRM,1976,0,0,0.0,1,22.0,1,0.0
BRM,1977,0,0,0.0,10,28.3,10,0.0
BRM-Ford,1969,0,0,0.0,1,8.0,1,0.0
BRP,1963,0,0,6.0,5,10.8,5,0.0
BRP,1964,0,0,5.0,14,12.5,14,0.0
Behra-Porsche,1960,0,0,0.0,2,11.0,2,0.0
Bellasi,1970,0,0,0.0,5,23.4,5,0.0
Bellasi,1971,0,0,0.0,1,21.0,1,0.0
