raceId,driverId,total_stops,avg_stop_time,min_stop_time,total_pit_time
841,1,2,23.213,23.199,46.426
841,2,2,24.046,22.994,48.092
841,3,1,23.716,23.716,23.716
841,4,3,24.055,23.251,72.165
841,5,1,24.865,24.865,24.865
841,10,1,23.792,23.792,23.792
841,13,3,24.146,23.842,72.437
841,15,2,24.874,24.848,49.747
841,16,2,24.925,23.871,49.849
841,17,3,24.059,22.52,72.176
841,18,3,20.95,16.867,62.851
841,20,2,23.32,22.603,46.639
841,22,4,26.175,16.892,104.7
841,30,2,24.504,23.988,49.009
841,67,2,24.221,23.1,48.442
841,153,3,25.903,24.463,77.709
841,155,2,24.128,24.064,48.256
841,808,2,25.109,24.535,50.218
841,814,2,24.598,24.332,49.195
841,815,1,23.438,23.438,23.438
841,816,2,25.852,25.259,51.705
842,1,4,23.253,22.466,93.011
842,2,3,23.241,22.602,69.723
842,3,3,23.357,22.526,70.07
842,4,4,24.51,23.152,98.04
842,5,2,26.21,23.336,52.42
842,10,2,24.523,24.429,49.046
842,13,3,24.886,22.541,74.658
842,15,1,25.516,25.516,25.516
842,16,3,25.43,22.046,76.29
842,17,4,22.198,21.991,88.793
842,18,3,22.451,22.4,67.354
842,20,3,22.408,21.893,67.225
842,22,2,28.74,24.502,57.48
842,24,3,31.064,26.554,93.192
842,30,3,22.355,22.227,67.064
842,67,3,26.854,23.28,80.562
842,153,2,23.236,22.888,46.472
842,155,2,23.361,23.28,46.722
842,808,3,24.852,22.68,74.556
842,814,3,23.056,22.419,69.169
842,815,1,23.597,23.597,23.597
842,816,2,25.334,24.416,50.668
843,1,3,20.659,20.533,61.978
843,2,2,22.019,21.821,44.037
843,3,3,21.165,20.72,63.496
843,4,2,21.888,21.251,43.775
843,5,2,22.188,21.89,44.375
843,10,3,26.139,21.908,78.418
843,13,2,21.396,21.168,42.792
843,15,2,22.644,22.26,45.289
843,16,3,23.585,20.989,70.755
843,17,3,21.888,21.091,65.665
843,18,3,21.925,20.758,65.774
843,20,2,21.764,21.533,43.528
843,22,2,21.595,21.481,43.19
843,24,3,20.709,14.16,62.126
843,30,3,21.295,20.522,63.886
843,39,1,26.049,26.049,26.049
843,67,3,22.887,21.928,68.66
843,153,1,22.419,22.419,22.419
843,155,2,21.896,21.855,43.791
843,808,2,21.993,21.981,43.986
843,813,3,24.281,22.062,72.842
843,814,2,21.604,21.218,43.207
843,815,4,21.904,13.9,87.615
843,816,2,22.852,22.802,45.703
844,1,4,24.909,20.833,99.637
844,2,4,21.744,20.872,86.975
844,3,4,21.189,20.308,84.757
844,4,4,21.53,21.308,86.121
844,5,3,22.534,21.633,67.601
844,13,4,23.375,21.322,93.5
844,15,3,22.716,22.219,68.147
844,16,3,21.246,21.006,63.739
844,17,4,21.1,20.421,84.401
844,18,3,21.808,21.368,65.424
844,20,4,20.402,20.112,81.609
844,22,3,22.424,21.687,67.272
844,24,4,37.493,24.634,149.973
844,30,4,23.016,20.379,92.065
844,39,3,25.596,24.474,76.789
844,67,3,21.976,21.769,65.929
844,153,4,22.114,21.826,88.456
844,155,3,22.577,21.82,67.731
844,808,4,21.561,21.323,86.245
844,813,4,20.547,13.925,82.188
844,814,4,20.999,20.775,83.995
844,815,4,24.061,21.715,96.245
844,816,2,23.808,22.779,47.616
845,1,4,20.364,19.761,81.457
845,2,3,21.357,20.796,64.071
845,3,3,20.192,19.534,60.576
845,4,4,20.481,20.238,81.923
845,5,3,21.631,20.807,64.894
845,10,3,21.849,21.17,65.546
845,13,3,21.618,20.8,64.854
845,15,3,22.363,21.723,67.088
845,16,3,21.423,20.267,64.27
845,17,4,20.306,19.984,81.223
845,18,3,20.295,20.015,60.885
845,20,4,20.214,19.887,80.858
845,22,4,23.112,20.637,92.449
845,24,1,23.157,23.157,23.157
845,30,3,20.341,20.084,61.022
845,39,3,24.53,24.298,73.589
845,67,3,22.127,20.818,66.382
845,153,4,21.444,20.741,85.775
845,155,3,22.166,20.5,66.499
845,808,3,22.609,21.739,67.827
845,813,4,22.79,21.574,91.161
845,814,3,20.256,20.07,60.769
845,815,3,22.188,21.143,66.564
845,816,3,22.622,21.708,67.866
846,1,3,25.923,19.347,77.769
846,2,2,26.066,25.851,52.132
846,3,3,25.205,25.116,75.615
846,4,2,28.367,25.352,56.734
846,5,2,26.178,25.878,52.355
846,10,1,26.827,26.827,26.827
846,13,1,26.615,26.615,26.615
846,15,2,25.83,25.595,51.66
846,16,2,26.458,25.037,52.916
846,17,2,32.002,26.269,64.004
846,18,3,25.457,24.67,76.371
846,20,1,28.536,28.536,28.536
846,22,2,25.798,25.675,51.596
846,24,1,28.298,28.298,28.298
846,30,1,35.084,35.084,35.084
846,39,2,34.121,28.325,68.242
846,67,2,25.559,25.045,51.118
846,153,2,26.728,25.907,53.457
846,155,1,28.642,28.642,28.642
846,808,1,28.856,28.856,28.856
846,813,2,26.078,25.687,52.155
846,814,3,30.519,19.36,91.556
846,816,2,27.02,26.464,54.041
847,2,2,23.239,23.113,46.477
847,3,4,22.882,22.702,91.528
847,4,3,25.457,23.893,76.37
847,5,1,44.037,44.037,44.037
847,10,2,24.752,24.425,49.504
847,13,4,24.633,22.56,98.534
847,15,3,33.385,23.332,100.156
847,16,4,23.497,14.565,93.989
847,17,3,24.906,22.402,74.718
847,18,6,23.511,14.501,141.067
847,20,3,23.119,22.526,69.356
847,22,4,24.028,23.059,96.114
847,24,3,31.792,27.202,95.377
847,30,4,23.592,22.832,94.369
847,37,2,27.164,24.039,54.327
847,39,2,29.328,29.115,58.655
847,67,4,24.782,23.949,99.129
847,153,3,24.749,23.338,74.246
847,155,2,24.152,23.687,48.305
847,808,2,23.98,23.816,47.961
847,813,5,25.502,23.571,127.508
847,814,4,22.194,14.538,88.776
847,816,5,24.909,14.538,124.547
848,1,3,20.529,20.212,61.587
848,2,3,21.957,21.472,65.871
848,3,3,21.832,20.896,65.497
848,4,3,20.721,20.136,62.164
848,5,3,22.333,21.126,66.999
848,10,2,21.965,21.9,43.93
848,13,3,22.22,20.404,66.659
848,15,2,22.729,22.131,45.458
848,16,3,20.666,20.286,61.998
848,17,3,20.384,20.319,61.151
848,18,3,20.6,20.325,61.801
848,20,3,20.593,20.331,61.778
848,22,3,21.237,21.163,63.711
848,24,3,23.153,22.235,69.46
848,30,3,24.345,21.168,73.034
848,39,3,26.255,24.675,78.764
848,67,3,20.925,20.46,62.776
848,153,2,21.247,21.103,42.494
848,155,2,22.019,20.545,44.037
848,808,3,21.459,21.105,64.377
848,813,3,21.532,21.301,64.596
848,814,3,20.818,20.567,62.454
848,815,1,21.939,21.939,21.939
848,816,2,22.096,21.943,44.193
849,1,3,24.168,23.34,72.505
849,2,2,24.575,24.434,49.15
849,3,2,24.56,24.399,49.121
849,4,3,24.671,23.474,74.014
849,10,2,25.188,24.959,50.375
849,13,3,23.775,23.238,71.326
849,16,3,25.685,24.077,77.054
849,17,3,24.416,23.785,73.248
849,18,3,24.216,23.292,72.649
849,20,3,26.504,23.137,79.513
849,22,2,24.908,23.955,49.815
849,24,2,26.074,25.505,52.148
849,30,3,28.881,24.651,86.644
849,67,2,25.45,24.62,50.899
849,153,2,24.407,24.095,48.814
849,155,2,29.999,28.448,59.999
849,808,2,24.526,24.172,49.052
849,813,3,24.793,23.869,74.379
849,814,3,34.458,26.612,103.374
849,815,2,25.502,25.386,51.005
849,816,2,27.085,25.428,54.17
849,817,2,26.407,25.872,52.814
850,1,3,20.627,20.403,61.881
850,3,3,20.457,20.047,61.37
850,4,3,20.147,19.975,60.44
850,5,2,21.632,21.175,43.263
850,10,2,21.752,21.252,43.504
850,13,3,20.811,20.185,62.432
850,16,2,20.859,20.839,41.718
850,17,3,20.688,20.324,62.063
850,18,1,20.952,20.952,20.952
850,20,3,20.259,20.11,60.778
850,24,1,22.048,22.048,22.048
850,30,3,20.332,19.93,60.997
850,67,2,24.127,20.954,48.255
850,153,2,21.376,21.062,42.751
850,155,2,21.074,20.882,42.149
850,808,2,21.01,20.572,42.021
850,812,3,25.556,22.331,76.668
850,813,2,21.329,21.057,42.658
850,814,2,23.106,22.535,46.211
850,815,2,24.446,21.645,48.892
850,816,2,22.175,20.762,44.35
850,817,2,23.186,22.319,46.372
851,1,6,19.867,13.173,119.2
851,2,2,23.402,21.371,46.805
851,3,4,21.128,19.939,84.513
851,4,4,21.539,19.936,86.156
851,5,5,21.998,20.99,109.988
851,10,3,21.255,20.613,63.764
851,13,4,21.76,21.138,87.041
851,15,1,23.118,23.118,23.118
851,16,4,21.447,20.589,85.79
851,17,5,20.673,20.0,103.364
851,18,3,20.966,20.046,62.897
851,20,3,20.322,19.664,60.965
851,22,5,24.514,20.58,122.572
851,24,5,23.888,22.458,119.441
851,30,2,21.01,20.071,42.019
851,67,3,21.39,20.36,64.169
851,153,3,22.544,21.345,67.631
851,155,3,22.612,21.258,67.835
851,808,4,23.172,21.353,92.688
851,813,5,20.77,13.186,103.85
851,814,3,21.333,20.801,63.998
851,815,4,19.226,13.201,76.903
851,816,4,29.643,20.916,118.572
851,817,3,22.686,21.651,68.058
852,1,1,21.895,21.895,21.895
852,3,2,22.13,21.171,44.261
852,4,2,21.118,20.994,42.237
852,5,3,24.285,22.009,72.854
852,10,4,23.733,13.914,94.931
852,13,3,21.869,21.485,65.608
852,15,2,21.822,21.484,43.643
852,16,2,21.878,20.983,43.756
852,17,2,20.981,20.947,41.962
852,18,3,23.147,21.64,69.442
852,20,3,21.032,20.786,63.095
852,22,3,30.35,21.478,91.049
852,24,2,26.362,21.766,52.725
852,30,3,20.566,20.153,61.698
852,155,2,22.715,21.269,45.43
852,808,2,21.687,21.395,43.374
852,811,3,21.84,13.968,65.519
852,813,2,21.862,21.421,43.724
852,814,2,21.342,21.334,42.684
852,815,3,21.355,14.089,64.064
852,816,2,22.526,22.114,45.053
852,817,1,23.78,23.78,23.78
853,1,2,21.98,21.876,43.959
853,4,2,22.264,21.989,44.528
853,5,2,22.954,22.611,45.909
853,10,2,23.966,22.784,47.931
853,13,2,21.984,21.821,43.969
853,15,2,26.906,23.42,53.811
853,18,2,21.877,21.66,43.755
853,20,2,21.751,21.378,43.502
853,22,2,26.286,23.414,52.571
853,30,2,22.362,22.014,44.723
853,67,2,24.16,24.086,48.32
853,153,2,22.133,21.988,44.267
853,155,2,25.245,22.939,50.489
853,811,3,22.651,22.273,67.952
853,813,2,22.838,22.614,45.677
853,814,2,22.47,21.87,44.939
853,817,1,30.777,30.777,30.777
854,1,5,29.704,24.342,148.522
854,3,3,29.742,29.417,89.227
854,4,3,30.327,29.972,90.98
854,5,3,31.677,31.207,95.03
854,13,4,31.026,30.29,124.102
854,15,3,31.844,31.048,95.533
854,16,2,32.068,30.718,64.136
854,17,3,30.693,30.413,92.079
854,18,3,30.132,29.921,90.395
854,20,3,30.543,30.023,91.628
854,22,2,30.5,30.456,61.0
854,24,4,35.264,31.687,141.058
854,30,2,29.542,29.473,59.083
854,67,3,32.32,31.394,96.96
854,153,3,29.028,24.299,87.083
854,155,4,29.412,24.715,117.65
854,808,3,30.639,30.485,91.917
854,811,4,33.518,30.832,134.073
854,813,3,30.517,30.187,91.552
854,814,2,30.234,29.764,60.468
854,815,2,32.077,30.81,64.154
854,816,2,31.678,31.592,63.355
854,817,3,37.337,33.058,112.01
855,1,3,21.735,21.091,65.204
855,3,3,20.683,20.575,62.049
855,4,3,21.066,20.731,63.197
855,5,3,21.821,21.412,65.463
855,10,3,23.389,21.726,70.166
855,13,3,21.209,21.1,63.627
855,15,3,22.008,21.636,66.025
855,16,3,21.562,21.337,64.687
855,17,3,21.548,21.369,64.644
855,18,3,20.935,20.713,62.805
855,20,3,21.892,21.596,65.675
855,22,3,22.252,21.89,66.756
855,24,3,25.197,22.631,75.591
855,30,3,21.372,20.667,64.116
855,67,1,21.849,21.849,21.849
855,153,2,22.188,21.792,44.376
855,155,2,23.281,22.299,46.562
855,808,2,21.068,20.832,42.136
855,811,2,24.196,22.466,48.393
855,813,3,21.142,21.012,63.426
855,814,3,21.827,21.553,65.481
855,815,2,23.058,21.655,46.116
855,816,3,23.18,22.258,69.54
855,817,3,23.268,22.91,69.805
856,1,2,20.715,20.584,41.43
856,3,2,20.432,20.091,40.863
856,4,2,20.809,20.639,41.617
856,5,2,22.31,21.951,44.62
856,10,2,22.507,22.481,45.014
856,13,2,22.361,21.08,44.722
856,15,2,22.646,22.441,45.292
856,16,2,23.368,21.916,46.736
856,17,2,20.814,20.8,41.628
856,18,2,20.762,20.758,41.524
856,20,2,20.078,19.985,40.155
856,22,2,22.034,21.722,44.069
856,24,3,24.005,22.092,72.015
856,30,1,20.238,20.238,20.238
856,67,2,22.045,21.992,44.09
856,153,2,22.313,22.301,44.626
856,155,3,22.891,21.472,68.673
856,808,1,21.478,21.478,21.478
856,811,2,21.528,21.163,43.056
856,813,3,19.196,13.984,57.588
856,814,2,21.568,21.06,43.135
856,815,3,21.527,21.225,64.581
856,816,2,24.658,22.412,49.317
856,817,2,22.656,22.115,45.311
857,1,3,23.965,22.172,71.895
857,3,2,22.064,21.149,44.127
857,4,2,21.814,21.755,43.628
857,5,2,22.114,22.001,44.227
857,10,1,27.378,27.378,27.378
857,13,3,21.462,14.919,64.386
857,15,3,29.259,22.894,87.778
857,16,2,21.7,21.424,43.401
857,17,2,21.316,21.24,42.632
857,18,2,21.465,21.092,42.93
857,20,2,21.432,21.415,42.864
857,22,2,27.994,22.339,55.989
857,30,2,21.188,20.893,42.375
857,39,2,23.825,23.605,47.651
857,67,1,22.579,22.579,22.579
857,153,2,22.97,22.856,45.94
857,808,2,24.828,22.519,49.656
857,811,2,21.934,21.723,43.867
857,814,3,22.22,20.984,66.659
857,815,2,23.732,22.676,47.465
857,816,2,22.58,22.472,45.159
